 time            v(A0)           v(A1)           v(A2)           v(A3)           v(B0)           v(B1)           v(B2)           v(B3)           v(Cin)          v(S0)           v(S1)           v(S2)           v(S3)           v(C4)          
 2.01040760e-08  1.80000000e+00  1.72663159e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.14406643e-04  1.80002383e+00  1.79999715e+00  1.80000142e+00  1.80000464e+00 
 2.01122281e-08  1.80000000e+00  1.57989477e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.04637146e-04  1.80002651e+00  1.80000065e+00  1.80000198e+00  1.80000546e+00 
 2.01285322e-08  1.80000000e+00  1.28642113e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  5.11909973e-04  1.80001826e+00  1.79999444e+00  1.79999929e+00  1.79999235e+00 
 2.01538975e-08  1.80000000e+00  8.29844837e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.00010350e-04  1.79998974e+00  1.79998019e+00  1.79999751e+00  1.79999394e+00 
 2.01816935e-08  1.80000000e+00  3.29517207e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -1.71019265e-03  1.79997968e+00  1.79999119e+00  1.80000011e+00  1.80000477e+00 
 2.02000000e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -2.83263031e-03  1.79996803e+00  1.79997686e+00  1.79999866e+00  1.79999595e+00 
 2.02048173e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -2.77760713e-03  1.79998292e+00  1.79996171e+00  1.79999759e+00  1.79999225e+00 
 2.02144518e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -2.49873451e-03  1.79999033e+00  1.79992127e+00  1.79999512e+00  1.79998387e+00 
 2.02337210e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -1.27266092e-03  1.79997543e+00  1.79993252e+00  1.80000173e+00  1.80001269e+00 
 2.02656617e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  9.20590118e-04  1.79982690e+00  1.80005167e+00  1.80000545e+00  1.80001537e+00 
